image_id,side,top_ratio,vertical_span,density,texture_std,green_saturation,green_dominant_ratio,grass_px
1382126833652436,left,0.4763,0.4402,0.0864,27.46,0.4123,0.4337,236385
1382343316960531,left,0.5025,0.4738,0.1239,32.18,0.4054,0.6818,338949
1382428236685293,left,0.4847,0.4303,0.0851,26.66,0.5278,0.8135,232773
1384536003155994,left,0.4906,0.4422,0.1082,22.42,0.5385,0.9162,295955
1387024262637164,left,0.5459,0.5128,0.168,38.05,0.4074,0.7588,459626
1390540386088057,left,0.5287,0.5119,0.1492,35.74,0.5455,0.9361,408265
1392451065705678,left,0.5257,0.4975,0.1023,30.18,0.4957,0.8172,279915
1392684475663658,left,0.5064,0.2599,0.0701,25.8,0.2935,0.4014,191919
1393324159000702,left,0.5143,0.4901,0.1303,24.71,0.3704,0.7472,356453
1393663855788904,left,0.497,0.4298,0.0282,27.99,0.2903,0.4826,77206
1394479101616319,left,0.5296,0.5292,0.1458,27.36,0.5625,0.871,398973
1395769838118856,left,0.4753,0.2045,0.0336,37.63,0.3766,0.4575,91886
1395914548688573,left,0.4842,0.2851,0.1082,15.63,0.3725,0.6492,296144
1396068288475881,left,0.5889,0.5558,0.1474,23.34,0.4404,0.6953,403237
1397157948541553,left,0.5548,0.5069,0.2045,20.06,0.4828,0.844,559647
1397313935193024,left,0.5455,0.4704,0.1177,29.73,0.5357,0.8731,322041
1397316825192590,left,0.496,0.4669,0.1115,24.48,0.5,0.7985,304999
1398370454993142,left,0.4758,0.2317,0.0478,34.68,0.425,0.5983,130782
1398792338463716,left,0.5217,0.4699,0.0897,35.28,0.4175,0.7602,245329
1400461571816334,left,0.9792,0.9466,0.1059,22.73,0.3962,0.8566,289763
1400608204943579,left,0.5094,0.4679,0.1797,22.98,0.3448,0.7291,491748
1400621701436824,left,0.5257,0.4249,0.1005,23.62,0.5283,0.8427,275044
1401412591438852,left,0.4847,0.4298,0.1336,18.16,0.3731,0.9054,365625
